d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,10,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249929,249788,140,622366,1249533,1.00773,0.498079,0.000560159
0.6,300826,300133,690,602214,1501384,1.46643,0.401106,0.00229368
0.7,350260,347248,3010,537491,1749905,2.1093,0.307154,0.00859362
0.8,400161,391045,9114,441496,1999991,2.94006,0.220749,0.0227758
0.9,450016,427043,22967,325693,2249815,3.97024,0.144764,0.051036
1,498167,453580,44587,233621,2498136,4.96391,0.0935181,0.0895021
1.1,550134,472932,77198,147318,2752423,5.94615,0.053523,0.140326
1.2,599920,485060,114857,93284,3002706,6.69871,0.0310666,0.191454
1.3,649231,491933,157291,58273,3247598,7.30101,0.0179434,0.242273
1.4,701042,495073,205961,35935,3497043,7.77977,0.0102758,0.293793
1.5,750164,496847,253309,23782,3752374,8.12005,0.00633785,0.337671
